address,city,province,country,yearBuilt,price
506 Haverhill Ln,Safety Harbor,FL,US,1988,342500.0
5320 Forest Park Dr,North Fort Myers,FL,US,1976,37000.0
4450 58th Ave N,Saint Petersburg,FL,US,1951,28000.0
780 Hanbury Dr,Des Plaines,IL,US,2006,222000.0
707 HANBURY DR,DES PLAINES,IL,US,2005,125000.0
7782 Dutch Loop,Colorado Springs,CO,US,2013,299500.0
1163 Fay Ave,Largo,FL,US,1963,100.0
204 Roat St,Lehigh Acres,FL,US,1995,13900.0
201 Telfair Ct,Summerville,SC,US,1983,190000.0
453 Seaworthy Rd,North Fort Myers,FL,US,1991,261000.0
814 CAROLINA AVE,TARPON SPRINGS,FL,US,1978,240000.0
407 W Wheeler St,Rockwood,TN,US,1919,104400.0
762 Hanbury Dr,Des Plaines,IL,US,2002,287000.0
3104 Blacklick-Eastern Rd NW,Baltimore,OH,US,2017,4490000.0
2445 Columbus-Lancaster Rd NW,Lancaster,OH,US,2016,45000.0
68-629 Farrington Hwy,Waialua,HI,US,1965,938790.0
217 Sage Brk Ln,Cle Elum,WA,US,2007,310000.0
18768 Indigo Ln,Rockbridge,OH,US,1967,85000.0
5250 12th Ave N,Saint Petersburg,FL,US,1960,58000.0
263 Abbott Run Vly Rd,Cumberland,RI,US,1967,302500.0
664 Squirrel Run SW,Supply,NC,US,2025,45000.0
6608 Hilltop Ln SW,Lakewood,WA,US,1946,119000.0
3215 PRINCETON AVE,Philadelphia,PA,US,1950,220000.0
13420 Debbie Ln,CLERMONT,FL,US,1989,72200.0
3554 1ST AVE N,ST PETERSBURG,FL,US,1963,500000.0
2188 KENT AVE,LARGO,FL,US,1975,290000.0
1710 Sharkey Way,Lexington,KY,US,2010,738000.0
7832 Country Brk Ln,Reynoldsburg,OH,US,1988,158950.0
3222 TYSON AVE,Philadelphia,PA,US,1950,87000.0
8149 Chesapeake Way,Pickerington,OH,US,2023,821713.0
509 Woodland Dr,Brownsville,TN,US,2015,415000.0
17203 Fawn Cir Dr,SAN ANTONIO,TX,US,1990,495900.0
40 Steeple Ct,Reinholds,PA,US,1993,515000.0
1314 Tahiti Dr,Sanibel,FL,US,1974,270000.0
2848 NW 3rd Ter,Cape Coral,FL,US,2024,27000.0
4353 Gulf Pnes Dr,Sanibel,FL,US,2006,325000.0
12909 Spanaway Loop Rd S,Tacoma,WA,US,1988,1025000.0
3331 NW 5th St,Cape Coral,FL,US,2025,7500.0
2224 Balsan Way,Wellington,FL,US,2003,340000.0
4114 Chestnut St,Delavan,WI,US,1935,379900.0
8403 Taylor Chase Dr,Reynoldsburg,OH,US,2021,229900.0
835 E Main St,Louisville,KY,US,2023,4250000.0
15188 Sam Snead Ln,North Fort Myers,FL,US,1983,155000.0
1217 Washington Ave,Lehigh Acres,FL,US,2024,17000.0
2648 NW 9th Ter,Cape Coral,FL,US,2005,275900.0
104 27TH AVE,ST PETE BEACH,FL,US,0,517500.0
1501 NW 13th St,Cape Coral,FL,US,2006,242500.0
2244 NW 15th Ter,Cape Coral,FL,US,2007,140900.0
5459 Vineland Rd Unit 4310,Orlando,FL,US,2000,75000.0
646 NE 5th Pl,Cape Coral,FL,US,2020,12800.0
2618 69th St W,Lehigh Acres,FL,US,2024,7995.0
19 Lynette Dr,Pickerington,OH,US,1973,98500.0
3401 TYSON AVE,Philadelphia,PA,US,1940,165000.0
15517 Fair Oaks Dr S,Spanaway,WA,US,1990,480000.0
97 Farnum Pike Unit 1,Smithfield,RI,US,2003,295000.0
139 44th St,Bellingham,WA,US,1993,255000.0
211 Carpenter St,Providence,RI,US,1900,126000.0
630 NE Fieldstone Ln,Prineville,OR,US,2003,239900.0
3202 PRINCETON AVE,Philadelphia,PA,US,1950,91500.0
3577 Gatling Ave,Norfolk,VA,US,1950,180500.0
29 W Riverside Rd,Esko,MN,US,2005,415000.0
44 Bell St,Dayton,OH,US,1919,60000.0
309 1ST AVE S,TIERRA VERDE,FL,US,2001,1640000.0
12607 SE 255th Pl,Kent,WA,US,1987,139950.0
4009 CARLA DR,CHEYENNE,WY,US,0,
4707 HICKORY PL,CHEYENNE,WY,US,0,
252 E IDAHO ST,CHEYENNE,WY,US,0,
9420 MICHIGAN ST,CHEYENNE,WY,US,0,
4717 MORAN AVE,CHEYENNE,WY,US,0,
4701 ONTARIO AVE,CHEYENNE,WY,US,0,
6901 WILLSHIRE BLVD,CHEYENNE,WY,US,0,
4755 MORAN AVE,CHEYENNE,WY,US,0,
729 APACHE ST,CHEYENNE,WY,US,0,
7812 YELLOWSTONE RD,CHEYENNE,WY,US,0,
1442 GILCHRIST RD,CHEYENNE,WY,US,0,
4756 MORAN AVE,CHEYENNE,WY,US,0,
1767 POWDERHOUSE RD,CHEYENNE,WY,US,0,
132 DELL RANGE BLVD,CHEYENNE,WY,US,0,
6717 PASADENA RD,CHEYENNE,WY,US,0,
1427 TRENT CT,CHEYENNE,WY,US,0,
5200 SAGEBRUSH AVE,CHEYENNE,WY,US,0,
6925 PASADENA RD,CHEYENNE,WY,US,0,
1971 MORGAN DR,CHEYENNE,WY,US,0,
8202 CHRISTENSEN RD,CHEYENNE,WY,US,0,
1111 ROAD 135,CHEYENNE,WY,US,0,
1372 KATE CAMERON DR,CHEYENNE,WY,US,0,
3009 HOLLAND CT,CHEYENNE,WY,US,0,
10664 CHERRY WOOD LN,CHEYENNE,WY,US,0,
2653 CHEVY RD,CHEYENNE,WY,US,0,
7115 WOODS RD,CHEYENNE,WY,US,0,
611 STERLING DR,CHEYENNE,WY,US,0,
818 OAK VALLEY LN,CHEYENNE,WY,US,0,
5110 TEN SLEEP DR,CHEYENNE,WY,US,0,
1333 MAHOGANY CT,CHEYENNE,WY,US,0,
1364 KATE CAMERON DR,CHEYENNE,WY,US,0,
1365 KATE CAMERON DR,CHEYENNE,WY,US,0,
1324 KATE CAMERON DR,CHEYENNE,WY,US,0,
1381 KATE CAMERON DR,CHEYENNE,WY,US,0,
1393 KATE CAMERON DR,CHEYENNE,WY,US,0,
1431 KATE CAMERON DR,CHEYENNE,WY,US,0,
271 LONE TREE CT,CHEYENNE,WY,US,0,
268 LONE TREE CT,CHEYENNE,WY,US,0,
281 VALLEY VIEW CT,CHEYENNE,WY,US,0,
1345 CURT GOWDY DR,CHEYENNE,WY,US,0,
5220 BOWIE DR,CHEYENNE,WY,US,0,
5145 KING ARTHUR WAY,CHEYENNE,WY,US,0,
2325 PLAIN VIEW RD,CHEYENNE,WY,US,0,
5010 POINT BLF,CHEYENNE,WY,US,0,
104 CLOVER CT,CHEYENNE,WY,US,0,
2308 PATTISON AVE,CHEYENNE,WY,US,0,
2312 APACHE ST,CHEYENNE,WY,US,0,
5201 TEN SLEEP DR,CHEYENNE,WY,US,0,
5110 KING ARTHUR WAY,CHEYENNE,WY,US,0,
4958 KING ARTHUR WAY,CHEYENNE,WY,US,0,
